RESTAURANT_ID,RESTAURANT_CUISINE,SHOW_RATE_US,RATING,RESTAURANT_LAT,RESTAURANT_LNG,RESTAURANT_CUSTOMER_DISTANCE,RESTAURANT_AREA_NAME,RESTAURANT_NAME,RESTAURANT_ADDRESS,RESTAURANT_CITY_NAME,STATE
41119,"[""American"",""Fast Food""]",FALSE,0,23.01174600000000000000,72.51161600000000000000,2,Prahlad Nagar,Burger King,"Burger King Pvt Ltd, shop no. 01, Venus Atlantis Business Park, 100ft main road, Anand nagar ,Vejalpur, prahlad nagar, Ahmedabad 380015",Ahmedabad,Gujarat
41119,"[""American"",""Fast Food""]",TRUE,0,23.01195050000000000000,72.51206640000000000000,3,Prahlad Nagar,Burger King,"Burger King Pvt Ltd, shop no. 01, Venus Atlantis Business Park, 100ft main road, Anand nagar ,Vejalpur, prahlad nagar, Ahmedabad 380015",Ahmedabad,Gujarat
41119,"[""American"",""Fast Food""]",TRUE,0,23.01195050000000000000,72.51206640000000000000,3,Prahlad Nagar,Burger King,"Burger King Pvt Ltd, shop no. 01, Venus Atlantis Business Park, 100ft main road, Anand nagar ,Vejalpur, prahlad nagar, Ahmedabad 380015",Ahmedabad,Gujarat
37650,"[""Pizzas"",""Fast Food""]",FALSE,,23.01206540000000000000,72.51094920000000000000,3,Prahlad Nagar,Pizza Hut,"Pizza hut , A-8, Ground Floor, Tower - A, Safal Pegasus, Prahlad Nagar, Ahmedabad.",Ahmedabad,Gujarat
41119,"[""American"",""Fast Food""]",TRUE,0,23.01195050000000000000,72.51206640000000000000,3,Prahlad Nagar,Burger King,"Burger King Pvt Ltd, shop no. 01, Venus Atlantis Business Park, 100ft main road, Anand nagar ,Vejalpur, prahlad nagar, Ahmedabad 380015",Ahmedabad,Gujarat
36980,[""Pizzas""],FALSE,0,23.02694700000000000000,72.47716700000000000000,100,Vastrapur,Domino's Pizza,"A 1, Amrapali Axiom, Ambli Cross Road, Bhopal, Ahmedabad",Ahmedabad,Gujarat
36976,[""Pizzas""],FALSE,0,23.02839800000000000000,72.54231700000000000000,100,Navrangpura,Domino's Pizza,"5, Ground Floor, Shivalik Plaza, Opposite Ahmedabad Management Association, IIM Road, Vastrapur, Ahmedabad",Ahmedabad,Gujarat
62977,"[""North Indian"",""Desserts"",""Biryani""]",TRUE,0,23.01169070000000000000,72.51533080000000000000,3,Prahlad Nagar,LunchBox,"Shop 17, First Floor, Dev Arum building, Shyamal Prahladnagar road, Vejalpur, Ahmedabad 380015",Ahmedabad,Gujarat
62977,"[""North Indian"",""Desserts"",""Biryani""]",TRUE,0,23.01169070000000000000,72.51533080000000000000,3,Prahlad Nagar,LunchBox,"Shop 17, First Floor, Dev Arum building, Shyamal Prahladnagar road, Vejalpur, Ahmedabad 380015",Ahmedabad,Gujarat
62977,"[""North Indian"",""Desserts"",""Biryani""]",TRUE,0,23.01169070000000000000,72.51533080000000000000,3,Prahlad Nagar,LunchBox,"Shop 17, First Floor, Dev Arum building, Shyamal Prahladnagar road, Vejalpur, Ahmedabad 380015",Ahmedabad,Gujarat
62977,"[""North Indian"",""Desserts"",""Biryani""]",TRUE,0,23.01169070000000000000,72.51533080000000000000,3,Prahlad Nagar,LunchBox,"Shop 17, First Floor, Dev Arum building, Shyamal Prahladnagar road, Vejalpur, Ahmedabad 380015",Ahmedabad,Gujarat
